#Position (bp)	insert size
15863.0	395.23599523241955
15938.0	418.2
16013.0	305.3333333333333
16088.0	394.09554140127386
16163.0	397.7857142857143
16238.0	0.0
16313.0	192.0
16388.0	602.9069767441861
16463.0	555.9230769230769
16538.0	555.0
16613.0	557.0
16688.0	791.0
16763.0	412.110599078341
16838.0	648.0
16913.0	239.66666666666666
16988.0	348.0
17063.0	398.6168831168831
17138.0	441.2
17213.0	0.0
17288.0	348.0
17363.0	390.82604373757454
17438.0	389.6111111111111
17513.0	362.5
17588.0	151.0
17663.0	391.5833333333333
17738.0	402.375
17813.0	0.0
17888.0	51.0
17963.0	396.0952380952381
18038.0	453.3333333333333
18113.0	0.0
18188.0	675.0
18263.0	487.65384615384613
18338.0	547.304347826087
18413.0	576.0
18488.0	509.25
18563.0	398.04926108374383
18638.0	504.5365853658537
18713.0	369.3333333333333
18788.0	472.0
18863.0	433.4054054054054
18938.0	481.73333333333335
19013.0	439.25
19088.0	482.5
19163.0	421.0
19238.0	553.0
19313.0	663.0
19388.0	539.5
19463.0	0.0
19538.0	385.825
19613.0	0.0
19688.0	0.0
19763.0	183.0
19838.0	459.0550458715596
19913.0	468.1666666666667
19988.0	570.0
20063.0	500.0
20138.0	464.5126582278481
20213.0	498.80645161290323
20288.0	599.5
20363.0	627.0
20438.0	418.4845360824742
20513.0	406.03333333333336
20588.0	353.6
20663.0	258.0
20738.0	128.0
20813.0	381.2857142857143
20888.0	425.5
20963.0	0.0
21038.0	0.0
21113.0	379.75
21188.0	0.0
21263.0	0.0
21338.0	472.82608695652175
21413.0	0.0
21488.0	586.0
21563.0	355.25
21638.0	401.97003154574134
21713.0	607.4429530201343
21788.0	497.6
21863.0	475.3333333333333
21938.0	384.5063829787234
22013.0	346.75
22088.0	287.0
22163.0	0.0
22238.0	401.26666666666665
22313.0	406.2
22388.0	512.0
22463.0	199.0
22538.0	394.7638888888889
22613.0	0.0
22688.0	0.0
22763.0	608.8461538461538
22838.0	697.25
22913.0	0.0
22988.0	443.5
23063.0	785.0
23138.0	536.5518945634267
23213.0	571.6521739130435
23288.0	526.4545454545455
23363.0	398.15384615384613
23438.0	438.35
23513.0	364.85
23588.0	0.0
23663.0	0.0
23738.0	128.0
23813.0	450.27777777777777
23888.0	0.0
23963.0	456.0
24038.0	769.0
24113.0	521.2833333333333
24188.0	0.0
24263.0	520.0
24338.0	398.0
24413.0	449.0833333333333
24488.0	0.0
24563.0	305.0
24638.0	619.6666666666666
24713.0	429.1219512195122
24788.0	496.07142857142856
24863.0	790.0
24938.0	506.1666666666667
25013.0	435.84033613445376
25088.0	339.6666666666667
25163.0	375.5
25238.0	574.0
25313.0	400.27624309392263
25388.0	542.8666666666667
25463.0	474.2
25538.0	480.0
25613.0	478.0
25688.0	629.0
25763.0	0.0
25838.0	0.0
25913.0	452.3392857142857
25988.0	400.0
26063.0	484.8333333333333
26138.0	579.0
26213.0	394.5114995400184
26288.0	366.5
26363.0	508.0
26438.0	197.66666666666666
26513.0	404.764192139738
26588.0	402.2
26663.0	411.0
26738.0	704.5714285714286
26813.0	439.17810026385223
26888.0	525.84
26963.0	485.6666666666667
27038.0	431.72727272727275
27113.0	391.8171745152355
27188.0	359.2307692307692
27263.0	248.0
27338.0	0.0
27413.0	485.1875
27488.0	410.0
27563.0	0.0
27638.0	0.0
27713.0	729.0
27788.0	407.8565217391304
27863.0	571.2222222222222
27938.0	380.5
28013.0	444.0
28088.0	378.54498714652954
28163.0	364.6
28238.0	243.5
28313.0	568.0
28388.0	508.640625
28463.0	471.5
28538.0	449.9166666666667
28613.0	612.8461538461538
28688.0	399.2692307692308
28763.0	485.1111111111111
28838.0	466.5
28913.0	467.6666666666667
28988.0	396.46781115879827
29063.0	358.3333333333333
29138.0	243.66666666666666
29213.0	339.6666666666667
29288.0	408.74626865671644
29363.0	0.0
29438.0	285.0
29513.0	351.0
29588.0	89.0
29663.0	0.0
29738.0	0.0
29813.0	0.0
29877.0	33.0
